관리번호,지역(시),지역(읍/면/동),경도,위도,경사정도(0 / 1 / 2),원지정비(O / X),나무간격(m),시설(보유 설비),당도(brix)_2020년 11월 1주차,당도(brix)_2020년 11월 2주차,당도(brix)_2020년 11월 3주차,당도(brix)_2020년 11월 4주차,당도(brix)_2020년 12월 1주차
26,서귀포시,대포동,126.4352216,33.2435151,0,O,4,"점적호스, 개폐기, 우산식",11.47,11.74,12.06,,
27,서귀포시,남원읍,126.6580882,33.3060336,0,O,4,"개폐기, 우산식, 스프링쿨러",11.09,11.43,12,12.24,
28,서귀포시,남원읍,126.6580882,33.3060336,2,O,4,개폐기,11.21,11.81,12.06,,
30,제주시,애월읍,126.3456551,33.4355869,0,O,3.5,우산식,11.17,11.48,12.29,12.47,12.52
31,제주시,애월읍,126.3505941,33.3689588,0,O,4,점적호스,10.35,11.13,11.18,11.57,11.75
32,서귀포시,하원동,126.45619,33.25666,1,O,4.5,"점적호스, 개폐기, 우산식, 스프링쿨러, 방풍망",12.35,12.49,12.83,13.45,
33,서귀포시,하원동,126.47112,33.27863,0,O,3.5,점적호스,10.28,10.57,,,
34,서귀포시,신효동,126.6083754,33.2602758,1,O,4.5,우산식,10.01,10.81,11.04,,
35,서귀포시,남원읍,126.6297939,33.299995,0,X,4.2,개폐기,11.25,11.26,12.03,,
36,서귀포시,남원읍,126.5884214,33.3420367,1,O,5,"점적호스, 우산식, 스프링쿨러, 방풍망",10.25,10.71,10.92,11.44,12.18
37,서귀포시,안덕면,126.3527725,33.2659768,0,O,4.5,점적호스,10.2,10.96,11.17,11.88,11.98
38,서귀포시,도순동,126.4773326,33.2713948,0,O,4,"점적호스, 개폐기, 우산식, 스프링쿨러, 방풍망(일부)",11.52,11.83,12.42,12.9,12.87
39,서귀포시,토평동,127.1490031,37.5782765,1,O,4,"점적호스, 개폐기(일부), 스프링쿨러(일부)",10.07,11.18,11.28,,
40,서귀포시,토평동,127.1490031,37.5782765,0,O,4.5,"점적호스, 개폐기, 우산식, 방풍망",10.51,10.53,10.77,,
41,서귀포시,대정읍,126.2656908,33.2359733,0,O,5,"점적호스, 방풍망",10.43,10.71,11.73,12.15,12.55
42,서귀포시,상효동,126.6125923,33.2793966,1,O,4,우산식,11.63,11.94,12.42,,
43,서귀포시,남원읍,126.7555417,33.3212506,0,O,4.5,"점적호스, 개폐기, 우산식, 방풍망",10.33,10.96,11.08,12.18,12.02
44,서귀포시,남원읍,126.6980129,33.3508829,0,O,4.5,개폐기,11.42,11.5,11.93,12.3,12.46
45,서귀포시,성산읍,126.853227,33.3544045,0,O,4.5,"점적호스, 개폐기, 우산식, 방풍망",12.96,13.3,13.69,,
46,서귀포시,대정읍,126.2937052,33.2577332,0,O,3.5,"점적호스, 개폐기, 방풍망",11.62,12.37,12.7,13.5,12.68
47,제주시,한경면,126.2277915,33.3299605,0,O,4.5,"점적호스, 개폐기, 우산식, 스프링쿨러",11.28,12.28,12.89,,
49,서귀포시,남원읍,126.7434993,33.3251515,2,X,4,"점적호스, 개폐기, 우산식(일부)",10.36,10.78,11.02,11.23,11.88
50,서귀포시,남원읍,126.7563774,33.294844,0,O,4.5,"개폐기, 우산식, 스프링쿨러",9.62,10.02,10.47,10.71,11.48
